"Timestamp","Which of the following games have you played before?","Enter a name. This can be any non numerical string and you will use this to access your game recommendations at the end of the project."
"2021/04/18 4:44:56 PM EST","Dota 2;Garry's Mod;War Thunder;Portal 2;Terraria;Borderlands 2;Mirror's Edge;Castle Crashers;Rocket League;FTL Faster Than Light;Bastion","Alsten"
"2021/04/18 5:00:28 PM EST","Dota 2;Team Fortress 2;Unturned;Counter-Strike Global Offensive;Warframe;Garry's Mod;The Elder Scrolls V Skyrim;Robocraft;Sid Meier's Civilization V;Portal;Portal 2;Terraria;Borderlands 2;PlanetSide 2;Half-Life;Trove;Team Fortress Classic;Loadout;Call of Duty Modern Warfare 2;Path of Exile;BioShock Infinite;Grand Theft Auto V;Tomb Raider;Call of Duty Black Ops;Clicker Heroes;Just Cause 2;Call of Duty Modern Warfare 3;TERA;BioShock;Chivalry Medieval Warfare;AdVenture Capitalist;Batman Arkham City GOTY;Far Cry 3;Don't Starve;Hitman Absolution;The Binding of Isaac;Mirror's Edge;Euro Truck Simulator 2;BioShock 2;Batman Arkham Asylum GOTY Edition;Castle Crashers;Dishonored;Realm of the Mad God;Fallout 4;Call of Duty Black Ops II;The Witcher Enhanced Edition;Gotham City Impostors Free To Play;RIFT;Rocket League;FTL Faster Than Light;Toribash;Super Meat Boy;Saints Row 2;Goat Simulator;SMITE;The Mighty Quest For Epic Loot;Bastion;LIMBO;BattleBlock Theater;Prison Architect;Hotline Miami;The Stanley Parable;Surgeon Simulator","Riley Needham"
"2021/04/18 5:05:49 PM EST","Counter-Strike Global Offensive;Portal;Grand Theft Auto San Andreas;Call of Duty Modern Warfare 2;Grand Theft Auto IV;Grand Theft Auto V;Tomb Raider;Call of Duty Black Ops;Grand Theft Auto Vice City;Euro Truck Simulator 2;Grand Theft Auto Episodes from Liberty City;Grand Theft Auto III;Call of Duty Black Ops II;Batman Arkham Origins;Max Payne 3","Arsh"
"2021/04/18 5:12:22 PM EST","Team Fortress 2;The Elder Scrolls V Skyrim;Borderlands 2;Call of Duty Modern Warfare 2;Neverwinter;Grand Theft Auto V;Call of Duty Black Ops;Call of Duty Modern Warfare 3;Call of Duty Black Ops II","HarryA"
"2021/04/18 6:14:55 PM EST","Team Fortress 2;The Elder Scrolls V Skyrim;Borderlands 2;Call of Duty Modern Warfare 2;Neverwinter;Grand Theft Auto V;Call of Duty Black Ops;Call of Duty Modern Warfare 3;Call of Duty Black Ops II","HarryA"
"2021/04/18 6:24:04 PM EST","Portal;Portal 2;Borderlands 2;Call of Duty Modern Warfare 2;Call of Duty Black Ops;Call of Duty Modern Warfare 3;Batman Arkham City GOTY;Call of Duty Black Ops II;Rocket League","reveille"
"2021/04/18 6:24:23 PM EST","War Thunder;Call of Duty Modern Warfare 3;Age of Empires II HD The Forgotten","Nathan"
"2021/04/18 6:52:16 PM EST","Team Fortress 2;Counter-Strike Global Offensive;The Elder Scrolls V Skyrim;Terraria;PlanetSide 2;Call of Duty Modern Warfare 3","hoover"
"2021/04/18 7:18:38 PM EST","Grand Theft Auto San Andreas;Call of Duty Modern Warfare 2;Marvel Heroes 2015;Grand Theft Auto V;Defiance;DC Universe Online","Aco"
"2021/04/18 7:50:56 PM EST","Team Fortress 2;Terraria;Grand Theft Auto V;Far Cry 3;Fallout 4;Super Meat Boy","Tanner Causey"
"2021/04/18 7:55:21 PM EST","Team Fortress 2;Garry's Mod;The Elder Scrolls V Skyrim;Sid Meier's Civilization V;Portal;Portal 2;Terraria;Half-Life;Fallout New Vegas;Tomb Raider;Age of Empires II HD Edition;Amnesia The Dark Descent;AdVenture Capitalist;Batman Arkham City GOTY;The Binding of Isaac;Euro Truck Simulator 2;Batman Arkham Asylum GOTY Edition;Fallout 4;The Witcher Enhanced Edition;Batman Arkham Origins;Goat Simulator;Cities Skylines;Prison Architect;Middle-earth Shadow of Mordor;The Stanley Parable;Surgeon Simulator","Rachel"
"2021/04/18 7:58:02 PM EST","Team Fortress 2;Unturned;Left 4 Dead 2;Warframe;War Thunder;Borderlands 2;Call of Duty Modern Warfare 2;Call of Duty Black Ops;Call of Duty Modern Warfare 3;Call of Duty Black Ops II;Fistful of Frags;Star Wars - Battlefront II","Thundersoar"
